codigo_producto,descripcion_art,bodega,segmento,linea_comercial,categoria,criterio_faltante
74238,GRAN MEDALLA CABSAU 6X750,Trapiche,Ultra Premium,Gran Medalla,Vinos de guarda,Categoria no es 'Vinos del año'; validar contra Tags Gescom
74656,GRAN MEDALLA CABFRAN 6X750,Trapiche,Ultra Premium,Gran Medalla,Vinos de guarda,Categoria no es 'Vinos del año'; validar contra Tags Gescom
74658,GRAN MEDALLA P. NOIR 6X750 ,Trapiche,Ultra Premium,Gran Medalla,Vinos de guarda,Categoria no es 'Vinos del año'; validar contra Tags Gescom
74170,F.LAS MORAS GRAN SYRAH 6X750,Finca Las Moras,Ultra Premium,Las Moras Gran Syrah,Vinos de guarda,Categoria no es 'Vinos del año'; validar contra Tags Gescom
20500,SUTER CHAMPAÑA E.BRUT 6X750,Suter,Champaña Medio,Champaña suter,Espumantes,Categoria no es 'Vinos del año'; validar contra Tags Gescom
20505,SUTER CHAMPAÑA EXT.DULCE 6X750,Suter,Champaña Medio,Champaña suter,Espumantes,Categoria no es 'Vinos del año'; validar contra Tags Gescom
80093,SAN T SPARK E.BRUT 6X750,San Telmo,Champaña Medio,Champaña San Telmo,Espumantes,Categoria no es 'Vinos del año'; validar contra Tags Gescom
80092,S.TELMO SPARK DULCE 6X750,San Telmo,Champaña Medio,Champaña San Telmo,Espumantes,Categoria no es 'Vinos del año'; validar contra Tags Gescom
54035,LA MASCOTA SPARK BL NOIR 6X750,Mascota Vineyards,Champaña Alta y Premium,Espumante Mascota Vineyards,Espumantes,Categoria no es 'Vinos del año'; validar contra Tags Gescom
74830,DADA SIDRA 6X750,Finca Las Moras,Premium,DADA Sidra,Sidra,Categoria no es 'Vinos del año'; validar contra Tags Gescom
74446,DADA ESPUMANTE 6X750,Finca Las Moras,Champaña Alta y Premium,Champaña Dada,Espumantes,Categoria no es 'Vinos del año'; validar contra Tags Gescom
74813,DADA EXTRA BRUT 6X750,Finca Las Moras,Champaña Alta y Premium,Champaña Dada,Espumantes,Categoria no es 'Vinos del año'; validar contra Tags Gescom
74728,DADA 7 ORANGE BITTER 6x750 ,Finca Las Moras,Champaña Alta y Premium,Champaña Dada,Espumantes,Categoria no es 'Vinos del año'; validar contra Tags Gescom
74473,DADA 7 ESPUMANTE ROS 6X750,Finca Las Moras,Champaña Alta y Premium,Champaña Dada,Espumantes,Categoria no es 'Vinos del año'; validar contra Tags Gescom
74567,DADA ESPUMANTE MARACUYA ,Finca Las Moras,Champaña Alta y Premium,Champaña Dada,Espumantes,Categoria no es 'Vinos del año'; validar contra Tags Gescom
74568,DADA ESPUMANTE CASSIS ,Finca Las Moras,Champaña Alta y Premium,Champaña Dada,Espumantes,Categoria no es 'Vinos del año'; validar contra Tags Gescom
74709,DADA LATA SWEET 4X6X355,Finca Las Moras,Champaña Alta y Premium,Champaña Dada,Espumantes,Categoria no es 'Vinos del año'; validar contra Tags Gescom
